FOLIO,cuenta,N_REN,SEXO,EDAD,PC3_2,ENT,ESC,FACTOR
95,1,1,2,3,1,27,0,581
119,1,1,1,7,6,12,0,859
196,1,1,2,4,1,24,0,814
217,1,3,2,17,6,2,0,2387
263,1,1,2,3,3,32,0,603
292,1,1,2,3,3,1,0,878
326,1,1,1,3,3,29,0,312
383,1,1,1,3,3,11,0,2405
405,1,1,2,3,3,29,0,330
409,1,1,2,3,1,24,0,3169
411,1,1,2,3,3,14,0,4874
432,1,1,2,3,3,24,0,835
459,1,1,1,28,10,9,0,3659
470,1,1,1,3,3,32,0,417
483,1,1,1,4,3,26,0,1499
511,1,1,2,3,3,26,0,1439
628,1,1,1,21,6,28,0,339
643,1,1,2,4,11,14,0,8438
721,1,1,2,3,3,29,0,301
733,1,3,1,4,5,31,0,3031
733,1,2,2,3,3,31,0,3031
733,1,4,1,5,1,31,0,3031
838,1,1,1,3,3,5,0,2876
840,1,1,2,3,3,7,0,2174
861,1,2,2,3,3,28,0,2191
890,1,2,1,4,3,8,0,3134
910,1,1,2,4,3,11,0,5311
925,1,3,1,4,9,21,0,5494
925,1,2,1,3,3,21,0,5494
930,1,1,2,3,3,13,0,1417
941,1,1,1,4,3,19,0,2561
945,1,1,1,3,3,32,0,166
962,1,1,2,3,3,27,0,765
963,1,3,1,13,1,17,0,627
963,1,1,1,10,1,17,0,627
963,1,2,1,12,1,17,0,627
1001,1,3,1,3,3,32,0,1727
1033,1,1,2,4,5,19,0,3627
1038,1,2,2,13,6,7,0,1500
1059,1,1,2,4,5,7,0,858
1114,1,2,1,28,2,22,0,1139
1127,1,1,1,4,5,27,0,581
1127,1,2,1,6,5,27,0,581
1149,1,1,1,3,3,14,0,6370
1152,1,1,2,3,3,3,0,1073
1168,1,1,1,4,11,31,0,1052
1183,1,1,1,3,3,15,0,5403
1266,1,1,1,4,4,7,0,3471
1267,1,1,2,4,5,7,0,2013
1274,1,1,2,3,3,23,0,1192
1277,1,1,2,4,1,30,0,2762
1280,1,1,2,25,1,30,0,4209
1292,1,1,2,3,3,2,0,2449
1292,1,2,2,4,3,2,0,2449
1303,1,1,1,4,1,2,0,642
1321,1,2,2,3,3,6,0,401
1363,1,1,2,3,3,26,0,1439
1365,1,2,1,4,1,26,0,2831
1384,1,1,2,5,3,3,0,425
1400,1,1,1,3,3,26,0,540
1417,1,1,2,3,3,30,0,8059
1469,1,1,2,4,1,21,0,2196
1477,1,1,1,13,6,2,0,1074
1571,1,2,2,3,3,9,0,3770
1640,1,2,1,4,5,23,0,1549
1666,1,1,1,4,5,10,0,1482
1676,1,1,2,4,11,22,0,2298
1677,1,1,2,3,3,6,0,354
1713,1,1,1,3,3,22,0,700
1725,1,1,1,4,3,22,0,1030
1731,1,1,1,3,3,15,0,5403
1801,1,1,1,3,3,32,0,795
1806,1,1,1,3,3,17,0,502
1821,1,1,1,3,11,6,0,377
1859,1,1,2,3,3,19,0,4123
1941,1,1,2,4,9,20,0,1253
2139,1,1,1,3,3,29,0,350
2162,1,1,2,3,3,20,0,3510
2167,1,1,2,4,3,17,0,1353
2212,1,1,1,3,3,24,0,1545
2257,1,1,1,3,3,6,0,337
2324,1,1,2,4,3,32,0,702
2327,1,1,1,3,3,3,0,602
2348,1,1,1,3,3,32,0,436
2386,1,2,1,4,9,7,0,3157
2395,1,1,1,3,3,7,0,3647
2413,1,3,2,27,10,29,0,204
2415,1,2,2,3,1,6,0,501
2420,1,1,2,3,3,3,0,360
2478,1,1,2,4,11,27,0,668
2592,1,1,2,3,3,15,0,4785
2598,1,2,1,3,3,2,0,2163
2698,1,1,2,3,3,25,0,869
2699,1,3,1,29,4,8,0,1119
2757,1,2,2,3,3,15,0,10590
2765,1,1,2,3,3,30,0,2807
2830,1,2,2,3,3,20,0,541
2893,1,1,2,3,3,30,0,3000
2909,1,1,1,4,3,17,0,606
2933,1,2,2,4,1,32,0,729
2980,1,1,2,3,3,8,0,1864
2988,1,1,2,3,3,8,0,993
3013,1,1,2,3,3,17,0,613
3107,1,1,2,3,11,15,0,8813
3108,1,1,2,3,3,11,0,1321
3110,1,1,2,3,3,28,0,4144
3149,1,1,1,3,3,2,0,5855
3290,1,1,1,4,3,8,0,2681
3311,1,1,2,3,3,8,0,1421
3343,1,1,1,4,11,20,0,1275
3369,1,1,2,3,3,16,0,1732
3396,1,1,2,3,3,29,0,961
3424,1,1,1,3,3,3,0,438
3462,1,2,2,3,3,9,0,4880
3541,1,1,2,3,1,7,0,665
3564,1,1,1,3,3,11,0,2451
3616,1,1,1,3,3,27,0,1007
3631,1,1,1,3,3,2,0,4486
3649,1,1,1,3,3,2,0,3624
3654,1,1,2,3,3,24,0,1487
3721,1,1,2,3,3,26,0,853
3723,1,2,1,3,1,21,0,1485
3729,1,4,1,26,10,13,0,1291
3742,1,1,1,3,6,6,0,327
3822,1,2,2,3,3,19,0,2932
3831,1,3,1,26,1,3,0,796
3854,1,1,2,3,3,24,0,1035
3902,1,1,1,3,3,22,0,1895
3959,1,1,1,3,3,17,0,1345
3965,1,1,2,3,3,14,0,5322
3988,1,1,1,4,3,27,0,1004
3998,1,3,2,29,9,12,0,3809
4001,1,1,2,3,3,16,0,1252
4006,1,1,2,3,3,22,0,1983
4039,1,1,1,3,3,18,0,633
4087,1,1,1,3,5,13,0,1589
4135,1,1,1,3,3,13,0,896
4144,1,2,2,3,3,24,0,4402
4144,1,3,2,4,3,24,0,4402
4148,1,1,1,5,10,8,0,4218
4171,1,1,2,5,6,31,0,675
4225,1,1,1,3,3,31,0,907
4253,1,2,1,28,10,29,0,673
4300,1,1,1,3,3,8,0,2212
4329,1,3,2,3,3,26,0,2484
4365,1,2,2,3,3,13,0,1910
4410,1,1,2,3,3,7,0,1237
4473,1,1,1,28,6,12,0,212
4474,1,1,2,4,11,6,0,456
4495,1,1,1,4,9,6,0,303
4495,1,2,2,6,9,6,0,303
4616,1,1,2,4,1,1,0,449
4653,1,1,2,3,3,32,0,389
4699,1,1,2,3,3,14,0,3812
4747,1,2,1,3,5,15,0,10677
4795,1,2,1,3,3,32,0,1375
4803,1,2,2,4,7,6,0,417
4806,1,2,1,5,11,3,0,1047
4812,1,1,2,4,9,16,0,1726
4872,1,1,2,3,3,29,0,545
4904,1,1,2,3,3,10,0,658
4928,1,1,1,3,5,18,0,350
4938,1,1,2,3,3,17,0,962
4957,1,2,1,3,3,20,0,1070
4964,1,2,1,3,3,19,0,2414
5011,1,1,2,3,3,26,0,1326
5027,1,1,2,3,3,30,0,3701
5038,1,2,1,3,1,23,0,1380
5039,1,1,1,6,6,22,0,1468
5067,1,1,2,3,3,31,0,1016
5077,1,1,2,3,3,32,0,1022
5100,1,1,1,4,9,15,0,3041
5147,1,2,1,23,10,30,0,9024
5158,1,3,1,3,3,19,0,1964
5180,1,1,1,3,3,13,0,1497
5230,1,1,2,4,5,6,0,385
5252,1,1,1,23,6,6,0,146
5398,1,1,2,4,5,27,0,692
5434,1,1,2,23,6,26,0,456
5482,1,1,1,21,2,19,0,5548
5547,1,4,1,26,6,32,0,1110
5573,1,1,2,3,3,30,0,4184
5602,1,1,1,3,3,26,0,1043
5618,1,1,1,3,3,26,0,688
5628,1,1,2,3,3,27,0,1593
5692,1,1,1,3,3,26,0,903
5719,1,1,1,3,3,26,0,749
5748,1,2,2,3,3,20,0,1373
5757,1,1,1,26,1,8,0,3912
5875,1,1,2,17,6,3,0,184
5921,1,1,1,3,3,3,0,870
5921,1,2,1,4,1,3,0,870
5924,1,1,2,3,3,24,0,1317
6007,1,1,2,3,3,6,0,599
6029,1,2,1,3,3,11,0,7230
6087,1,1,1,3,3,7,0,2951
6095,1,1,1,3,3,6,0,250
6108,1,3,1,3,3,15,0,10511
6108,1,2,1,3,3,15,0,10511
6158,1,1,1,3,11,31,0,427
6158,1,2,1,4,11,31,0,427
6162,1,1,1,6,6,18,0,790
6174,1,2,1,3,11,17,0,133
6314,1,5,1,21,6,14,0,15301
6316,1,1,1,3,3,9,0,3015
6332,1,6,1,12,6,7,0,2085
6343,1,2,1,3,3,29,0,121
6371,1,1,2,3,3,28,0,1638
6379,1,1,2,3,3,4,0,930
6393,1,2,1,5,1,19,0,2431
6401,1,2,2,3,3,12,0,726
6414,1,1,2,11,6,32,0,301
6422,1,1,2,15,6,5,0,1349
6430,1,1,2,4,6,11,0,2893
6444,1,1,1,4,5,16,0,1593
6520,1,2,2,3,3,29,0,743
6551,1,1,1,3,3,18,0,529
6568,1,1,2,3,3,6,0,282
6579,1,1,2,3,3,15,0,10442
6607,1,2,1,4,1,21,0,1049
6711,1,1,1,3,3,8,0,3985
6742,1,2,1,4,5,8,0,4167
6754,1,1,2,4,11,19,0,3375
6758,1,1,2,24,6,15,0,2490
6786,1,2,1,3,3,25,0,4530
6856,1,1,1,19,6,20,0,764
6856,1,2,2,22,6,20,0,764
6858,1,2,1,4,3,1,0,1188
6867,1,1,2,3,3,10,0,1011
6878,1,1,2,22,6,16,0,1224
6904,1,4,2,19,8,16,0,2558
6925,1,1,1,3,3,2,0,1276
6957,1,1,1,3,3,30,0,11763
6959,1,1,1,3,3,26,0,924
7015,1,1,1,3,3,29,0,777
7101,1,1,2,5,1,19,0,3436
7104,1,1,2,4,3,2,0,1450
7108,1,1,1,3,1,30,0,4202
7164,1,1,1,4,3,17,0,2970
7175,1,1,2,4,3,8,0,2241
7214,1,1,2,3,3,31,0,1097
7221,1,1,1,3,3,27,0,1405
7228,1,1,2,3,3,22,0,2126
7269,1,3,1,3,3,29,0,1207
7299,1,1,2,3,3,29,0,432
7304,1,1,1,3,3,16,0,1546
7327,1,3,1,19,7,6,0,303
7333,1,1,1,5,1,21,0,1577
7338,1,1,2,3,3,29,0,434
7343,1,1,1,3,3,1,0,434
7388,1,2,2,6,9,5,0,1072
7390,1,1,2,4,1,20,0,2142
7425,1,1,1,6,6,22,0,933
7446,1,1,2,3,3,29,0,364
7491,1,2,2,3,3,23,0,1569
7518,1,1,2,3,3,5,0,1347
7587,1,2,1,4,1,26,0,1735
7636,1,1,1,3,3,32,0,318
7636,1,2,2,4,3,32,0,318
7651,1,1,1,3,11,32,0,545
7655,1,1,2,12,10,1,0,769
7672,1,2,2,3,3,31,0,2296
7674,1,1,2,5,3,6,0,484
7680,1,1,1,4,5,13,0,1138
7745,1,1,2,3,3,10,0,1091
7773,1,1,1,3,3,22,0,1178
7825,1,1,1,4,6,14,0,3156
7859,1,1,1,9,6,12,0,1338
7907,1,2,2,3,5,4,0,1457
7907,1,3,1,5,5,4,0,1457
7937,1,1,1,3,3,15,0,7494
8034,1,1,1,3,3,20,0,3232
8042,1,2,2,3,3,25,0,1097
8063,1,1,2,3,3,29,0,542
8091,1,1,2,3,3,29,0,579
8115,1,1,1,3,3,32,0,800
8156,1,1,1,4,3,30,0,5181
8174,1,2,1,27,6,25,0,1438
8195,1,3,2,3,3,31,0,3537
8210,1,2,1,3,1,16,0,13771
8211,1,2,1,3,3,27,0,2239
8256,1,1,2,3,11,9,0,4857
8259,1,1,1,3,3,2,0,1606
8286,1,4,1,18,1,3,0,847
8301,1,1,2,18,8,18,0,272
8317,1,1,2,4,3,11,0,2471
8336,1,1,2,3,3,19,0,2483
8343,1,1,2,3,3,7,0,1500
8378,1,2,2,14,6,29,0,378
8386,1,2,2,4,4,7,0,3126
8390,1,2,2,3,3,7,0,2353
8415,1,2,1,3,7,15,0,22693
8415,1,3,2,4,7,15,0,22693
8429,1,1,1,4,11,30,0,4457
8431,1,1,1,3,3,2,0,1276
8484,1,1,1,3,3,3,0,309
8606,1,1,2,3,3,28,0,2321
8609,1,2,2,3,3,10,0,4558
8616,1,1,1,3,3,5,0,2446
8656,1,2,1,3,3,4,0,411
8711,1,1,2,3,3,21,0,1496
8765,1,1,1,3,3,31,0,505
8790,1,2,1,3,3,27,0,1463
8795,1,1,1,4,3,11,0,3828
8802,1,1,1,3,3,5,0,816
8852,1,1,1,24,2,19,0,1901
8892,1,1,2,3,3,8,0,2269
8908,1,3,2,4,3,23,0,1575
8935,1,1,1,4,5,3,0,1081
9061,1,1,2,3,3,32,0,387
9078,1,1,2,3,1,21,0,3296
9082,1,2,2,3,3,19,0,13296
9116,1,1,2,3,3,21,0,2637
9141,1,1,1,3,3,29,0,538
9157,1,1,2,3,3,8,0,3127
9285,1,1,2,3,3,26,0,1494
9292,1,1,1,3,3,31,0,608
9293,1,1,1,3,3,5,0,1717
9303,1,1,1,4,11,3,0,497
9350,1,1,2,3,3,20,0,1005
9406,1,1,1,3,3,10,0,2456
9494,1,1,2,3,3,8,0,3307
9525,1,1,2,3,3,32,0,430
9538,1,1,1,3,9,21,0,1068
9565,1,1,2,3,3,23,0,1465
9657,1,9,1,28,1,19,0,13229
9657,1,8,2,25,2,19,0,13229
9696,1,4,1,28,1,18,0,437
9699,1,2,2,24,1,7,0,2085
9700,1,2,2,25,1,18,0,685
9722,1,1,2,3,3,7,0,2027
9771,1,1,1,4,5,4,0,404
9777,1,1,1,3,3,18,0,1604
9780,1,2,1,4,7,7,0,1515
9780,1,3,1,4,7,7,0,1515
9783,1,1,2,4,11,8,0,878
9801,1,2,2,3,3,12,0,8791
9833,1,2,1,3,3,2,0,1103
9838,1,1,1,3,3,2,0,1301
9860,1,1,1,4,5,29,0,350
9876,1,1,1,3,3,27,0,631
9907,1,2,2,3,3,17,0,691
9962,1,1,2,3,3,1,0,459
9994,1,3,1,22,10,24,0,1548
10008,1,1,1,3,3,3,0,397
10021,1,2,2,3,11,17,0,836
10040,1,2,1,6,5,13,0,2049
10053,1,1,1,3,3,17,0,243
10103,1,1,2,3,3,29,0,545
10153,1,1,2,3,3,29,0,285
10252,1,1,1,3,3,10,0,1561
10252,1,3,1,5,10,10,0,1561
10252,1,2,1,3,3,10,0,1561
10276,1,2,2,3,3,26,0,2720
10356,1,1,1,3,3,1,0,303
10361,1,1,1,3,3,7,0,3364
10364,1,1,1,3,4,6,0,472
10381,1,1,1,4,1,12,0,550
10387,1,1,2,3,3,7,0,2631
10414,1,1,2,3,3,7,0,2342
10416,1,1,1,3,3,18,0,899
